isbn,title,author,genre,published_year,price
ISBN128,Environmental Science,Dash Sharma,Science,2014,620
ISBN129,Drama Collection,George Bernard Shaw,Literature,2010,310
ISBN130,Art History Overview,Meera Sen,Arts,2021,530
ISBN131,Big Data Analytics,Viktor Mayer,Technology,2020,910
ISBN132,Ancient World Empires,Paul Davis,History,2013,460
ISBN133,Nuclear Physics,Enrico Fermi,Science,2015,880
ISBN134,Poems of India,A K Ramanujan,Literature,2012,260
ISBN135,Modern Architecture,Charles Correa,Arts,2018,720
ISBN136,Operating Systems,Silberschatz,Technology,2017,830
ISBN137,Indian Culture,Jawaharlal Nehru,History,2014,540
ISBN138,Genetics Today,Watson Crick,Science,2016,760
ISBN139,Language & Style,Noam Chomsky,Literature,2011,390
ISBN140,Photography Basics,Raghav Rao,Arts,2022,580
ISBN141,Software Engineering,Sommerville,Technology,2019,850
ISBN142,Colonial India,Sumit Sarkar,History,2016,510
ISBN143,Electromagnetism,David Griffiths,Science,2017,790
ISBN144,Creative Writing,Stephen King,Literature,2015,430
ISBN145,Traditional Dance Forms,Leela Samson,Arts,2020,470
ISBN146,Database Systems,Korth Silberschatz,Technology,2018,920
ISBN147,World Geography,Majid Hussain,History,2014,560
ISBN148,Human Anatomy,Tortora,Science,2016,880
ISBN149,Literary Criticism,Terry Eagleton,Literature,2013,350
ISBN150,Indian Paintings,B N Goswamy,Arts,2021,600
ISBN151,DevOps Handbook,Gene Kim,Technology,2021,740
ISBN152,Global History,Norman Davies,History,2012,630
ISBN153,Microbiology,Pelczar,Science,2015,810
ISBN154,English Essays,George Orwell,Literature,2010,290
ISBN155,Modern Crafts,Savita Reddy,Arts,2019,460
ISBN156,Mobile App Development,Paul Deitel,Technology,2020,780
ISBN157,Political History,Upinder Singh,History,2017,590
ISBN158,Earth Science,Tarbuck Lutgens,Science,2016,700
ISBN159,World Literature,Harold Bloom,Literature,2014,410
ISBN160,Art & Culture of India,Kapila Vatsyayan,Arts,2022,640
ISBN161,Cyber Security Essentials,William Stallings,Technology,2022,890
ISBN162,History of Asia,Denis Twitchett,History,2013,520
ISBN163,Astrophysics Basics,Stephen Hawking,Science,2018,950
ISBN164,Novel Writing Workshop,Anne Lamott,Literature,2016,360
ISBN165,Textile Arts of India,Ritu Kumar,Arts,2020,550
ISBN166,Computer Networks,Tanenbaum,Technology,2019,870
ISBN167,World Revolutions,Eric Hobsbawm,History,2014,600
ISBN168,Marine Biology,Castro Huber,Science,2017,820
ISBN169,Short Plays,Anton Chekhov,Literature,2011,300
ISBN170,Indian Sculpture,Susan Huntington,Arts,2021,670
ISBN171,Python for Data Analysis,Wes McKinney,Technology,2020,760
ISBN172,European History,Jeremy Black,History,2015,490
ISBN173,Renewable Energy,Godfrey Boyle,Science,2019,830
ISBN174,Children Stories,Ruskin Bond,Literature,2012,240
ISBN175,Art Therapy Basics,Nisha Mehta,Arts,2018,420
ISBN176,AI Applications,Raj Ramesh,Technology,2021,880
ISBN177,Indian Freedom Fighters,R C Guha,History,2016,560
ISBN178,Biotechnology Today,Reed Glick,Science,2017,790
ISBN179,Poetry Anthology,Emily Dickinson,Literature,2010,310
ISBN180,Visual Communication,David Crow,Arts,2022,590
ISBN181,Data Mining Concepts,Jiawei Han,Technology,2018,840
ISBN182,World Heritage Sites,UNESCO,History,2014,620
ISBN183,Robotics Engineering,John Craig,Science,2020,910
ISBN184,Modern Drama,Arthur Miller,Literature,2013,350
ISBN185,Design Thinking,Tim Brown,Arts,2019,530
ISBN186,Embedded Systems,David Simon,Technology,2017,780
ISBN187,Ancient Indian Society,R S Sharma,History,2015,480
ISBN188,Climate Change Studies,IPCC,Science,2021,920
ISBN189,World Classics,Leo Tolstoy,Literature,2009,400
ISBN190,Modern Indian Art,Geeta Kapur,Arts,2022,650
ISBN191,Blockchain Basics,Daniel Drescher,Technology,2021,860
ISBN192,Maritime History,Lincoln Paine,History,2016,550
ISBN193,Nanotechnology Intro,Charles Poole,Science,2019,890
ISBN194,Essay Writing Skills,William Zinsser,Literature,2014,370
ISBN195,Art Management,Rajiv Malhotra,Arts,2018,460
ISBN196,Game Development,Unity Team,Technology,2020,810
ISBN197,Modern World History,Peter Stearns,History,2017,600
ISBN198,Food Science Basics,Norman Potter,Science,2016,720
ISBN199,Language Studies,David Crystal,Literature,2012,430
ISBN200,Art & Aesthetics,Susanne Langer,Arts,2021,580
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
